NAME|ROOM|IP||OS OS version|CATEGORY|OWNER|AUTHORITY|BARCODE|10 DESCRIPTION: Machine Company| Processor| RAM| HDD||SERIAL NUMBER|INVENTORY STATUS|RACKINFO||POWER UP|SUPPORT TEAM|DEPARTMENT|COMMENTS
alsike|ATH304|||MacOS 10.8|regular|mn|dept|586228|Apple iMac 21.5" A1418|||||C02JXRE8DNCR|active|||5||Computer Science|On NAT
altario|ATH233|129.128.16.162||Windows XP Pro|regular||dept||Dell OptiPlex 755|||||||||||Computer Science|
amadou|ATH252A|129.128.16.172||Windows XP Pro|regular||dept||Dell OptiPlex 755|Intel Core2 @ 2.66GHz|2|||ACS03580|active|||5||Computer Science|
amber-rv|CSC205|129.128.23.182||Linux Ubuntu 14.04|regular||hasell|||Intel Q9400 @ 2.66GHz|8|||||||||Computer Science|
amelia|Off Campus|||MacOS 10.8|regular|dept|sunrose|586220|Apple iMac 21.5" A1418|||||C02JXREBDNCR|active|||5||Computer Science|Used by Sunrose Ko at her home (approved by the Chair).
amii-laptop01|CSC247|||Windows 10 Education|laptop|zaiane|zaiane|||Intel Core i7 6700HQ @ 2.6 GHz|8|1||||||||Computer Science|
amii1|CSC205|129.128.184.31||Linux Ubuntu 16.04|regular||zaiane|704915|Dell OptiPlex 7050|||||F482HH2|active|||5||Computer Science|
amiidemo|CSC205|129.128.184.131||Linux Ubuntu 16.04|regular||zaiane||||||||active|||5||Computer Science|
amisk|GSB175|129.128.243.77||Linux openSUSE 13.1|regular|dept|tst|537335|Dell PowerEdge R300|||||FMTZ3J1|active|F14||5|SA1|Computer Science|TST managed server
ammi40|ATH405|||Windows 10|regular|||707571||Intel Core i7||||||||||Computer Science|
ammi-emily|CSC363?|129.128.25.86|| |regular||pierreb|||Intel Q9400 @ 2.66GHz|4|||GS1000B09415009|missing|||5||Computer Science|behind Walter's firewall?
ammi-fw|CSC329|129.128.184.4||OpenBSD 4.5|regular|pierreb|pierreb|586203|Dell Poweredge R320|||||CNSWFX1|active|||5||Computer Science|Subnet 184
ammi-tr-ag|CSC363?|129.128.25.196|| |regular||pierreb|474201||Intel Q9400 @ 3GHz|2|||37452|missing|||5||Computer Science|behind Walter's firewall?
amundson|CSC205|129.128.184.72||Linux Ubuntu 14.04|regular||greiner||Cooler Master Custom PC|||||RC371KKN31151400274|spare|||5||Computer Science|Needs U of A tag and proper room number.
ana|ATH430|129.128.184.140||Linux Ubuntu 14.04|regular||mn|||Intel Core2 E8400 @ 3.0GHz|4|||||||||Computer Science|
andrew|ATH315|129.128.23.213||MacOS 10.5.8|regular||sutton||Apple iMac| @ 1.83GHz|1|||||||||Computer Science|
anton-lake|CSC205|129.128.23.208||Linux Scientific 4.4 (Beryllium)|regular||hasell|||AMD XP3000|2|||||||||Computer Science|
anzac|ATH220|129.128.16.198||MacOS 10.8|regular|dept|dept|586221|Apple iMac 21.5" A1418|||||C02JXRD6DNCR|spare|||5||Computer Science|
arcadia||129.128.23.204|| |||||||||||retired|||5||Computer Science|Surplused
ard1|CSC323|129.128.184.76||Linux Ubuntu 10.04 LTS (stand alone)|wildwest||stroulia|474596|Dell OptiPlex GX270|Intel Pentium 4 @ 2.8GHz|2|||8J05S41|active|||5||Computer Science|Arduino Lab
ard2|CSC323|129.128.184.77||Linux Ubuntu 10.04 LTS (stand alone)|wildwest||stroulia|474248|Dell OptiPlex GX270|Intel Pentium 4 @ 2.8GHz|2|||JV05S41|active|||5||Computer Science|Arduino Lab
ardmore||129.128.4.81|| |||||||||||retired|||5||Computer Science|
ardrossan|CSC205|129.128.23.77||Linux WPS Ubuntu 16.04|regular|zaiane|zaiane|||Intel Core i7 7700||||F484HH2|active|||5||Computer Science|
armena|ATH420|129.128.4.154||MacOS 10.6.4|regular|mesquita|Denilson||Apple MacPro|Xeon @ 2.66GHz|4|||G873022GUPZ|active|||5||Computer Science|
aspasia|ATH450|129.128.184.45||Windows 7|regular|serranos|stroulia|||Inte lQ9550 @ 2.83GHz|4|||ACS07025|active|||5||Computer Science|Moving to NAT
astotin|ATH207|||MacOS 10.12|regular|dept|dept|586219|Apple iMac 21.5" A1418|||||C02JXRFKDNCR|active|||5||Computer Science|Loaned to Resul Das. On UWS.
atari|ATH338|129.128.23.138|| |unknown|bulitko|bulitko||Microsoft Xbox 360||||||active|||5||Computer Science|
ath224-cpy|ATH224|129.128.23.61|| |printer|ath224-cpy|tst||Xerox|WorkCentre 5755||||XEH488891|active|||5||Computer Science|Printer
ath234-clr|ATH234|129.128.23.11|| |printer|ath234-clr|tst||HP|Color Laserjet 3600dn|128MB|||||||||Computer Science|
ath245-cpy|ATH245|129.128.23.62|| |printer|ath245-cpy|tst||Xerox|WorkCentre 5755||||XEH488917|active|||5||Computer Science|Printer
ath326-cpy|ATH326|129.128.4.130|| |printer|ath326-cpy|tst||Xerox|WorkCentre 5755||||XEH583587N|active|||5||Computer Science|Printer
ath427-cpy|ATH427|129.128.4.43|| |printer|ath427-cpy|tst||Xerox|WorkCentre 5755||||XEH583557N|active|||5||Computer Science|Printer
athlone|ATH220|129.128.16.195||MacOS 10.8|regular|dept|dept|586223|Apple|iMac 21.5" A1418||||C02JXFLQDNCR|spare|||5||Computer Science|
atikameg|ATH243|129.128.16.163||Windows XP Pro|regular||dept||Dell OptiPlex 755|Intel Core2 @ 2.66GHz|2|||||||||Computer Science|
atlee|ATH335|129.128.23.46||MacOS 10.1|regular|dept|sadaf|586218|Apple|iMac 21.5" A1418||||C02JXRAUDNCR|active|||5||Computer Science|Munki Installed.
atmore|CSC137|129.128.184.13||Linux CentOS 6.7|regular||steve||||||||active|||5||Computer Science|
audet-lk|CSC351|129.128.25.122||MacOS 10.8|regular|zhang|||Apple|iMac 27" A1419||||C02K82X3DNCV|active|||5||Computer Science|
aurora|CSC329|129.128.22.49||Linux WPS Ubuntu 16.04|regular||zhang|||Intel Xeon X5687 x2|148||||active|E||5|SRIT|Computer Science|
badden||129.128.23.221|| |||||||||||retired|||5||Computer Science|
baranow||129.128.23.15|| |||||||||||retired|||5||Computer Science|
barich|CSC225|129.128.23.197||Windows 10|regular||lin|||Intel i7 4790 @ 3.6GHz|16|||||||||Computer Science|
barnegat|CSC327|129.128.25.138||Linux Scientific 5.1 (Boron)|regular||dwishart|||Intel Q6600 @ 2.4GHz|3|||PTS860X034802099802700|missing|||5||Computer Science|Users cannot find
barrhead|ATH419|129.128.4.39||MacOS 10.6.4|regular|wfb|wfb||||||||active|||5||Computer Science|
battle-riv|CSC225|129.128.184.24||Windows 7|regular||nrossol|||Intel Quad Core i7 @ 3.4GHz|8|||||||||Computer Science|
baytree|CSC363A?|129.128.25.161||Windows 2000 Pro|regular||wfb|411819||Intel Pentium III||||CPS04592|missing|||5||Computer Science|On NAT
bbw-grid1|CSC363A|129.128.25.191|| |network|BBW|pierreb|||||||125-000-5413??|active|||5||Computer Science|Switch
bbw-grid2|CSC361|129.128.25.192|| |network|BBW|pierreb|||||||683-592-8117|active|||5||Computer Science|Switch
bbw-grid3|CSC361|129.128.25.193|| |network|BBW|pierreb|||||||265-875-8772|active|||5||Computer Science|Switch
bbw-grid4|CSC363A|129.128.25.194|| |network|BBW|pierreb|||||||serial??|active|||5||Computer Science|Switch
bbw-grid5|CSC363A|129.128.25.195|| |network|BBW|pierreb|||||||serial??|active|||5||Computer Science|Switch
bellis|CSC205|129.128.23.142||Linux WPS Ubuntu 16.04|regular|zaiane|zaiane|no-tag|Dell Vostro 430|Intel i7 860 @ 2.8GHz|8|||9CQNPL1|spare|||5||Computer Science|
bentley|CSC311|129.128.25.162||Linux WPS Ubuntu 16.04|regular||ghlin|||Intel Core2 Duo E6850 @ 3.0GHz|4|||FQQ18G1|active|||5||Computer Science|
berwyn|cs353ptr|129.128.25.165|| |alias|jag?|jag||Dell|1720dn||||4F4F8D1|ipalias|||5||Computer Science|Printer - CUPS printer vis
bezanson|CSC357|129.128.184.78||Linux Ubuntu 10.04 LTS (stand alone)|wildwest|yifeng|paullu||Dell XPS 8300|Intel i7 2600 @ 3.4GHz|12|||||||||Computer Science|
bi-print-8620|CSC327|129.128.25.7|| |printer||aguo||HP|OfficeJet Pro 8620||||CN559FK1DS|active|||5||Computer Science|
bickerdike|CSC311|129.128.25.163||Linux WPS Ubuntu 16.04|regular||ghlin||Acer Aspire AM3970-EB12P|Intel i7 2500 @ 3.40GHz|8|||PTSHAP201715004BC49201|active|||5||Computer Science|
bighorn|CSC353|129.128.25.96||Linux Fedora 13|regular|zichen2|jag|444197|Xeon|X350qc|4|||serial-no|active|||5||Computer Science|Fedora 13 - different root password
bioqa|CSC327|129.128.184.61|| |unknown|cknox||||||||||||||Computer Science|
bitumount|CSC351|129.128.25.104||Linux Ubuntu 12.04|regular||mpolak|||Intel Pentium4 @ 3.4GHz|1|||||||||Computer Science|
blackfoot|CSC217|129.128.184.6||Linux Ubuntu 16.04|regular|cgao3|hayward|||Intel i7 7700|32|||ACS0538|active|||5||Computer Science|Stuphen built
blogs-dev|launch-dev|129.128.22.149||Linux Slackware 12.2.0|alias|dept|tst||||||||retired|||5||Computer Science|
bmiserver|ATH123|129.128.184.20||Windows |regular||ziqi2|588738||Intel i7 3770||||4130400037|active|||5||Computer Science|We do not manage or maintain
bodo1|ATH337?|129.128.4.119||Linux Fedora 7 (Moonshine)|regular||mburo|||AMD MP2400|1|||serial|missing|||5||Computer Science|
boian|ATH419|129.128.184.44|| |unknown|wfb|wfb||Asus EeeBoxEB 1006||1|||90PEAB009974|active|||5||Computer Science|On wildwest
bonanza|CSC329|129.128.22.18||Linux WPS Ubuntu 16.04|regular|dept|tst|no-tag|Dell PowerEdge 815|AMD Opteron 6134|98|||4X7S5P1|active|F||5|SA1|Computer Science|eth0 uses NIC 2 with MAC f0:4d:a2:3c:4c:4e because idrac uses NIC 1 with MAC f0:4d:a2:3c:4c:4c
bondiss|CSC353|129.128.25.52||Linux Fedora 13|regular|zichen2|jag|448715||AMD Opteron 170 @ 2GHz|2|||ACS03808|active|||5||Computer Science|Fedora 13 - different root password
bonnyville|CSC311|129.128.25.70||Linux WPS Ubuntu 16.04|regular||ghlin||Dell Optiplex 755|Intel Core2 Duo E6850 @ 3GHz|4|||GQQ18G1|active|||5||Computer Science|
bon-accord|CSC327|129.128.25.80||Windows 10|regular||dwishart||Dell Vostro 460|Intel i5 2400 @ 3.1GHz|8|||8DN3DP1|active|||5||Computer Science|
botha1|CSC251A|129.128.184.7||Linux CentOS 5.5|regular||paullu||Dell PowerEdge 2950|Xeon 5150|8|||636ZMF1|active|||5||Computer Science|on wildwest;
botha1|CSC329|||Linux RHEL WS 3 (Taroon Update 2)|regular||paullu|474740|Sun V20z|AMD Opteron DP248|2|||XG043057933|missing|E||5||Computer Science|Powered off; Steve will move and cluster
botha10|CSC251A|129.128.22.140||Linux Fedora Core 6 (Zod)|unknown||paullu|508544|DellPowerEdge 2950|Xeon 5150|8|||HKK9QC1|active|||5||Computer Science|Steve handled
bowden|CSC211|nat||Linux openSUSE 13.2|regular||bulitko|586216||Intel i7 950 @ 3.7GHz|6|||||||||Computer Science|
bowhay|CSC211|129.128.23.29||Linux Ubuntu 14.04|regular|bowling|bowling|524807||AMD DC4800|2|||14011622P|retired|||5||Computer Science|being surplussed
boyne|CSC211|129.128.23.27||Linux Ubuntu 14.04|regular||bulitko|586254||Intel i5 4670 @ 3.4GHz|8|||14195708p|active|||5||Computer Science|standalone on NAT
braeburn-uws-nat|CSC205||| |||hasell|||||||||||||Computer Science|
braeburn|CSC205|129.128.23.12||Windows 7|regular||hasell||Dell Vostro 430|Intel i7 860 @ 2.8GHz|4|||||||||Computer Science|
brazeau|CSC329|129.128.4.13||Linux WPS Ubuntu 16.04|regular||jonathan|||AMD Opteron 248|2|||KP-2L607|active|B||5|SRIT|Computer Science|
bremmer||129.128.23.117|| |||||||||||retired|||5||Computer Science|
breton||129.128.25.14||Windows XP - 64 bit|regular||pierreb|||Xeon X5560|12|||9368144-51775|missing|||5||Computer Science|Missing? last reported in CSC365
breynat|CSC311|129.128.25.170||Linux Scientific 5.0 (Boron)|regular||ghlin||Acer QC8200| @ 2.33GHz|8|||||||||Computer Science|
brownfield||129.128.25.106|| |||||||||||retired|||5||Computer Science|
brule|CSC329|129.128.23.114||Linux RHEL Server 5.11|regular||paullu|497707||AMD Opteron 244|2|||ACS05264|active|F||5|SRIT|Computer Science|RHN# 1017919347
bucklake|CSC353|129.128.25.128||Linux Ubuntu 14|regular|zichen2|jag|||Intel Core2 Quad @ 2.4GHz|4|||2209159|active|||5||Computer Science|
busby3|CSC251A|129.128.22.33||Linux Ubuntu 12.04|regular||paullu|||AMD Opteron DP250|4|||||||||Computer Science|
busby4|CSC251A|129.128.22.34||Linux Ubuntu 12.04|regular||paullu|||AMD Opteron DP250|4|||||||||Computer Science|
busby9|CSC251A|129.128.22.141||Linux Fedora Core 6 (Zod)|unknown||paullu|||Xeon 5160|8|||||||||Computer Science|
cadogan||129.128.23.220|| |||||||||||retired|||5||Computer Science|
cadotte|GSB175|129.128.21.241||Linux WPS Ubuntu 16.04|regular||bulitko|||AMD Opteron DP246|6|||ACS04728|active|F14||5|SA1|Computer Science|
calmar|ATH452|129.128.23.13||Windows 7|regular|guana|stroulia||Dell 8100|Intel i5 @ 3.2GHz|8|||B2J5LM1|active|||5||Computer Science|
calumet-lk|CSC351|129.128.25.120||MacOS 10.8|regular||rmaiti||Apple iMac 27" A1419|||||C02K8A7KDNCV|active|||5||Computer Science|
cambria||129.128.23.145|| |||||||||||retired|||5||Computer Science|
caneta|ATH451|129.128.4.23||MacOS 10.11.3|regular|denilson|denilson|||Xeon Quad-Core E5|32|||F5KR407RF9VN|active|||5||Computer Science|
carcajou|ATH232|129.128.184.55||MacOS 10.5|regular||dept|221067|Apple Power Macintosh 6100| @ 66MHz||||XC4502D741Y|active|||5||Computer Science|administered by Facilities
card|CSC205|||Linux Ubuntu 14.04|regular||hasell||Dell D540| Intel Core2 Quad Q9400 @ 2.66 GHz|8|||||||||Computer Science|
carvel||129.128.23.151|| |||||||||||retired|||5||Computer Science|
ccis|CSC329|129.128.22.30||Linux Fedora Core 5|regular||steve||||||||missing|F||5||Computer Science|Steve will handle; powered off; will be rebuilt or moved to subnet 159
charcot|CSC329|129.128.184.50|| |||||||||||active|C||||Computer Science|one of Sutphen's?
chard|CSC315A|129.128.25.100||Windows 7|regular|||||AMD Athlon 64 Dual 4400+ @ 2.2GHz|4|||ACS05774|active|||5||Computer Science|Hot Spare
chauvin|CSC329|129.128.184.91||Linux Ubuntu 12.04|regular|gkondrak|gkondrak|469353||Xeon E5 1650v2|32|||ACS04596|active|D||5||Computer Science|
checkmylab|IST VM|129.128.21.208||Linux Ubuntu 16.04|virtual|||NA|||||||active|||5|SA1|Computer Science|CMPUT 401 project astep-ish
checkmylabtest|IST VM|129.128.21.209||Linux Ubuntu 16.04|virtual|||NA|||||||active|||5|SA1|Computer Science|CMPUT 401 project astep-ish submission testing
cherhill|CSC311|129.128.4.55||Linux Ubuntu 10.04 LTS|regular|ghlin|ghlin|468224||AMD MP2400|2|||ACS04305|missing|||5||Computer Science|
chinook-c01|CSC329||| |cluster||steve||||||||missing|B||5||Computer Science|Steve to check
chinook-c02|CSC329||| |cluster||steve||||||||missing|B||5||Computer Science|Steve to check
chinook-c03|CSC329||| |cluster||steve||||||||missing|B||5||Computer Science|Steve to check
chinook-c04|CSC329||| |cluster||steve||||||||missing|B||5||Computer Science|Steve to check
chinook|CSC329|129.128.23.85||Linux Red Hat 7.1 (Seawolf)|cluster||jonathan|438787||AMD 1.5GD|2|||ACS03085|active|B||5|SRIT|Computer Science|Steve will handle
chiplk|nojack|129.128.28.250||Linux openSUSE 13.1|alias|dept|tst||||||||retired|||5||Computer Science|chiplk interface on nojack now on IST VLAN to serve files to CS Windows machines
chipman||129.128.25.119|| |||||||||||retired|||5||Computer Science|
chirp|CSC301|129.128.25.37||Linux Ubuntu 14|regular||jag|||Intel Dual|4||||active|||5||Computer Science|
chisholm||129.128.23.82|| |||||||||||retired|||5||Computer Science|
cims-bw|CSC351|129.128.25.93|| |printer|cs351|mpolak||HP|LaserJet Pro 400 M401dne||||||||||Computer Science|
cline28|cline|129.128.28.248||Linux Slackware 12.2.0|alias|dept|tst||||||||retired|||5|SA1|Computer Science|
cline|GSB175|129.128.21.10||Linux Slackware 12.2.0|regular|dept|tst|543323||AMD Opteron 2350|4|||SM42230|active|F17||5|SA1|Computer Science|TST managed server
clive||129.128.25.148|| |||||||||||retired|||5||Computer Science|
cmpt497-nat||129.128.41.251|| |regular||tst||||||||retired|||5||Computer Science|no machine in room
coldlake|CSC251A|129.128.184.54|| |unknown|steve|paullu||||||||active|||5||Computer Science|
coleco|ATH338|129.128.23.137|| |unknown|bulitko|bulitko||Sony PlayStation 3||||||active|||5||Computer Science|
cons1|CSC139|129.128.41.226||Linux WPS Ubuntu 14.04|regular|dept|tst|512139|Dell OptiPlex 745|||||3K6TPC1|active|||5|SA1|Computer Science|standalone
cons2|CSC231|129.128.23.229||Linux WPS Ubuntu 14.04|regular|dept|tst|512412|Dell OptiPlex 745|||||2G6TPC1|active|||5|SA1|Computer Science|standalone
cons3|CSC329|129.128.25.238||Linux WPS Ubuntu 14.04|regular|dept|tst|512132|Dell OptiPlex 745|||||696TPC1|active|||5|SA1|Computer Science|standalone
cons4|CAB311A|129.128.22.55||Linux WPS Ubuntu 14.04|regular|dept|tst|512133|Dell OptiPlex 745|||||6D6TPC1|active|||5|SA1|Computer Science|standalone
console|GSB175|129.128.21.15||Linux RHEL Server 5.11|regular|dept|tst|510095|Dell PowerEdge 2950(2)|||||H1LYYC1|active|F17||5|SA1|Computer Science|RHN# 1018085679
consort|GSB175|129.128.243.69||Linux Slackware 12.2.0|regular|dept|tst|510056|Dell PowerEdge 2950|||||GK491C1|active|F17||5|WPS|Computer Science|web server for c391
coronado|CSC327|129.128.25.115||Windows 10|regular||dwishart||Dell Vostro 460|Intel i5-2400 @ 3.1GHz|8|||8DN4DP1|active|||5||Computer Science|
coronation|ECHA|129.128.21.210||Linux WPS Ubuntu 16.04|regular|dept|tst|no-tag||||||BXLG1T2|active|P3R3||5|SA1|Computer Science|TST managed server
crescer|ATH437|129.128.184.27|| |wildwest||stroulia||Dell R7425|||||J9WN5J1|active|||5||Computer Science|Do not reinstall if it stays on the wildwest - OTRS 103913
crestomere||129.128.25.114|| |||||Dell OptiPlex 360||||||retired|||5||Computer Science|RHN# 1017917148
cross-lake|GSB175|129.128.243.169||Linux CentOS 6|regular|hoehn|joerg||Rackform iServ R485 Storform D55J.v2|||||||||||Computer Science|
cs147ptr|CSC147|129.128.25.110|| |printer|cs147|wfb|543286|HP|P3005dn||||SCNG1X09522|active|||5||Computer Science|Printer
cs259ptr||129.128.23.125|| |||||||||||retired|||5||Computer Science|
cs353ptr|CSC353|129.128.25.165|| |printer|jag?|jag||Dell|1720dn||||4F4F8D1|active|||5||Computer Science|Printer
cs363ptr|CSC363|129.128.184.52|| |printer||wfb||HP|LJ2055dn||||CNB9085905|active|||5||Computer Science|AMMI printer on Wild West
csc105-w01|CSC105|129.128.235.151||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||33JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w02|CSC105|129.128.235.152||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||34JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w03|CSC105|129.128.235.153||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||HCKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w04|CSC105|129.128.235.154||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||2CKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w05|CSC105|129.128.235.155||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||BDKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w06|CSC105|129.128.235.156||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||76JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w07|CSC105|129.128.235.157||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||4DKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w08|CSC105|129.128.235.158||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||95JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w09|CSC105|129.128.235.159||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||G3JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w10|CSC105|129.128.235.160||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||F4JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w11|CSC105|129.128.235.161||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||55JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w12|CSC105|129.128.235.99||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||GCKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w13|CSC105|129.128.235.163||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||F5JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w14|CSC105|129.128.235.164||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||FCKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w15|CSC105|129.128.235.165||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||HDKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w16|CSC105|129.128.235.98||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||FDKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w17|CSC105|129.128.235.167||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||46JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w18|CSC105|129.128.235.168||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||5CKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w19|CSC105|129.128.235.169||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||5DKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w20|CSC105|129.128.235.170||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||CDKQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w21|CSC105|129.128.235.171||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||54JQXF1|retired|||5|WPS|Computer Science|UGrad
csc105-w22|CSC105|129.128.235.172||Windows 7|regular|dept|tst||Dell OptiPlex 755|||||94JQXF1|retired|||5|WPS|Computer Science|UGrad
csc167-in1|CSC167|129.128.235.150||Windows 8.1|regular|dept|tst||Lenovo ThinkCentre M93p|||||MG00FMYQ|active|||5|WPS|Computer Science|UGrad
csc167-w01|CSC167|129.128.235.130||Windows 8.1|regular|dept|tst||Lenovo ThinkCentre M93p|||||MG00FMY5|active|||5|WPS|Computer Science|UGrad
csc167-w02|CSC167|129.128.235.131||Windows 8.1|regular|dept|tst||Lenovo ThinkCentre M93p|||||MG00FMY1|active|||5|WPS|Computer Science|UGrad
